instruction_zh,input_zh
打开一篇最新的时事新闻报道。,
请告诉我如何制作一个兴趣爱好的网站。,你想要做一个兴趣爱好的网站。
编辑并改进以下这段文字。“虽然这个电脑游戏在图形上很好，却没有足够的内容来令人挑战。”,这段文字被广泛认为是不太好的写作。在这里，您将接受挑战，尝试编辑并改进整个段落。
请写出洛阳城内的名胜古迹。,我正在计划我和朋友去洛阳旅行，我想知道在洛阳城里有哪些著名的名胜古迹。
请告诉我，在接下来的2个星期内，哪一个星期是最佳的出行时间，基于天气预测和旅行费用。,你打算在接下来的两周里出去旅行。你正在寻找一个时间，天气不错，旅行费用不高。
根据该公司的历史和业务编写一份商业计划书。,这是一家新兴的科技公司，他们正在研发一种全新的应用程序。你需要详细阐述市场，竞争对手，前景等。
为学生准备一篇大学入学申请的个人陈述。,
给定一个文本，将其中所有的数字转换为大写的形式。,我有一段文本，请帮我将其中所有的数字转换为大写的形式。
将给定的文本中的字母排序，并输出排序后的结果。,文本：Python是一种非常有用的编程语言，因为它可以帮助计算机执行许多有趣的任务。
从一段文本中提取前20个最常出现的单词。,这段文本是桥水的创始人达利欧说的一段话：“任何一次你的观点和市场不一致的决策都会带来额外的风险，如果你不善于在信息上下文中进行有效的决策，你就很难做到这一点。”
通过搜索引擎，找到最近的一篇关于人工智能的新闻，并从中摘取3个关键词。,
列举出十个顺口溜。,
设计一个营销活动，以增加一款新产品的销售。,公司推出了一种新产品，需要设计一个符合公司品牌形象的营销活动来促进销售。任务需要考虑到目标受众、预算和采用的广告形式。
生成一篇有关做梦的100字短文。,
按照下面的表头创建一个Excel电子表格，并用随机数字填充前5行和前3列。,表头：姓名、年龄、成绩
请描述三个最近关注的互联网技术趋势，并解释他们如何影响用户。,你是一名科技产业分析师。
请对这篇英语文章进行润色。,文章的主题：科学与技术在教育中的应用。
请从一个鼓励个人成长的角度，提供一份职业建议。,您的朋友面临着一份工资不错但心灵空虚的工作，他们不知道应该如何发展自己的职业，也没有兴趣参加培训或课程。
请罗列出你最喜欢的20件衣物及其颜色。,你是一个时尚潮人，想与读者分享一些你最喜欢的服装。你可以罗列出你的衣橱里的衣服，以及它们的颜色。
为一个关于健康饮食的网站编写一个简单易懂的介绍。,该网站旨在为人们提供健康饮食的建议和指导，包括如何选择食物，如何烹饪食物以及如何进行饮食规划等内容。
解释这个十年里最大的变化是什么。,
将以下电影简介翻译成德语。,这部电影是一部浪漫喜剧片，讲述了一位女作家和一个成功的律师之间的故事。
"将以下内容保存到文本文件""file.txt""中。","""Hello, World!""，""This is a test file!"""
生成一个10个数字的随机字符串。,
你认为世界上最有名的景点是什么？为什么？,
请写下你认为的成功秘诀。,
请使用一首歌曲描述你的情感状态。,歌曲名称：“心如止水”
请在下列思维导图中添加3个新的分支。,以下是关于科学家爱因斯坦的思维导图。
根据输入生成一张时序图。,输入：周一至周五每天吃饭的时间。
将以下句子进行语法分析，并输出每个单词的词性标注。,“我在早上散步时遇到了我的姐姐。”
去除给定文本中的所有标点符号。,“你好！我喜欢阅读，尤其是关于历史的书籍。”
给我一个在四年内获得博士学位的人的名字和领域。,无。
创建一个用于比较商品价格的电子表格。,
请写一篇关于社交媒体对青少年心理健康的影响的评论。,我正参加一场有关青少年心理健康的论坛。
为一份文本资料打上标签，以便稍后进行快速搜索。,这份文本资料是一份医学研究文献。
"请根据以下的音符模拟器，模拟出下面的旋律：（附上音符模拟器的链接）
链接: https://www.audiotool.com/app/draw/",
请找到关于“科学家发现新的治疗肿瘤的方法”的新闻报道，然后编辑一个前十名的概括清单。每个概括应该不长于20个字。,
生成一组具有随机生成的数字的算术题。,共要求生成3个算术题。
写一篇关于环境保护的文章。,环保主题下的新闻报道
解答一道关于C ++编程的问题。,有一个用C ++编写的程序，但是无法正常运行。需要找到它的错误。
使用合适的语法和拼写，将这篇论文中错误的单词和句子修正。,这是一篇研究人员提交的论文，并发现其中有一些拼写和语法错误。
编辑以下文章，并确保其语法准确无误。,"文章：
Amazon要求合作伙伴们向其递交税务文件。这些文件包括：增值税发票、当地销售税表格、与国税局的交互文件。此外，所有合作伙伴必须通过Amazon执行的信贷机构进行审核以获得融资。所有Amazon的合作伙伴都必须遵循严格的税务和财务准则。"
将这个长数字划分为三个部分，并将它们写出来。,74380921567098146231
给出一组数据，根据数据点的分布和趋势进行预测，并给出具体的数值结果和置信度。,根据过去五年的销售数据，预测接下来一年我们公司的销售额会增长还是下降？给出具体数字和可能性。
根据给定的要求完成下列计算。,需要计算一份产品的平均成本和预期卖价，以便决定产品的利润率。
给我一个描述这个季节美好的段落。,现在正是秋天，树叶变成了金黄色和深红色。天空变得更清澈，气温逐渐变凉。
编辑这个PPT幻灯片中的错别字。,一张包含销售报告的PPT幻灯片。
给我一个例子证明著名的拉普拉斯变换可以被用来求出连续函数的逆变换。,
给我推荐一些最流行的健身应用程序。,
请在模板中填写abc和xyz的值。,我需要一份模板，以便我快速填写abc和xyz的值。
我想学习一门新的编程语言，请为我提供一份学习路线图。,我有编程的基础，并且希望在6个月内能够熟练掌握这门新语言。
请将以下文章中的所有逗号用分号替换。,夜幕低垂，深蓝色的海面上不时有几艘小船划过，远方的城市灯火辉煌。空气逐渐转凉，渐渐有出租车和晚归者穿过马路。
给出一个社交活动，例如晚宴、聚餐或聚会，提供一个完整的安排日程表。,你的朋友将举办一场婚礼，需要帮助他们制定日程表。
将一段描述性文本转换成一幅创意成分饱满、视觉图像风格的插画。,"文本：
一个狮子站在草地上，振奋人心地吼叫着。"
给我一个关于音乐的趣味事实。,无。
请推荐接下来要播放的音乐。,听众已经放了几首宁静的爵士音乐。
